Cod;Finca;Ano;Año;FA;Semana;PPI;pH;Al;CE;MO;Cas;Mgs;Ks;Nas;Ps;Zns;Fes;Mns;Cus;Bs;Ss;CICE;CaMg;CaK;CaNa;CaP;CaZn;CaHie;CaMn;CaCu;CaB;CaS;MgK;MgNa;MgP;MgZn;MgFe;MgMn;MgCu;MgB;MgS;Kna;KP;KZn;Kfe;KMn;Kcu;KB;KS;PZn;Pfe;PMn;Pcu;PB;PS;Znfe;ZnMn;Zncu;ZnB;ZnS;FeMn;Fecu;FeB;FeS;MnCu;MnB;MnS;CuB;CuS;BS;Pcai;Pmgi;Pki;Pnai;CaMgK;Nf;Pf;Kf;Caf;Mgf;Sf;Mnf;Fef;Znf;Cuf;Bf;Naf;NPf;NKf;NCaf;NMgf;NSf;NMnf;NFef;NZnf;NCuf;NBf;NNaf;PKf;PCaf;PMgf;PSf;PMnf;PFef;PZnf;PCuf;PBf;PNaf;KCaf;KMgf;KSf;KMnf;KFef;KZnf;KCuf;KBf;KNaf;CaMgf;CaSf;CaMnf;CaFef;CaZnf;CaCuf;CaBf;CaNaf;MgSf;MgMnf;MgFef;MgZnf;MgCuf;MgBf;MgNaf;SMnf;SFef;SZnf;SCuf;SBf;SNaf;MnFef;MnZnf;MnCuf;MnBf;MnNaf;FeZnf;FeCuf;FeBf;FeNaf;ZnCuf;ZnBf;ZnNaf;CuBf;CuNaf;BNaf;HT;HJLI;HMJE;PPM;TMIN;TMAX;Da;Microp;Macrop;Ar;A
Ve11.13;Vega;2011;Año1;Ve11;13;1,8;6,04;0;0,55;17,94;6,2;1,84;0,4;0,15;126,48;4,8;407,81;53,02;2,17;0,07;51,55;6,93;3,37;15,5;41,33;0,05;1,29;0,02;0,12;2,86;88,57;0,12;4,6;12,27;0,01;0,38;0;0,03;0,85;26,29;0,04;2,67;0;0,08;0;0,01;0,18;5,71;0,01;26,35;0,31;2,39;58,29;1806,86;2,45;0,01;0,09;2,21;68,57;0,09;7,69;187,93;5825,86;7,91;24,43;757,43;1,03;31;0,04;0;89,47;26,55;5,77;2,16;15,95;30,6;2,02;44,38;9,79;2,77;2,71;350,39;112,6;33,81;8,97;21,98;352,01;15,15;0,69;3,13;11,05;11,29;0,09;0,27;0,91;3,41;1,39;0,09;0,05;0,21;0,73;0,75;0,01;0,02;0,06;0,23;0,09;0,01;4,53;16,02;16,38;0,13;0,39;1,31;4,95;2,02;0,13;3,53;3,61;0,03;0,09;0,29;1,09;0,45;0,03;1,02;0,01;0,02;0,08;0,31;0,13;0,01;0,01;0,02;0,08;0,3;0,12;0,01;3,11;10,36;39,06;15,94;1;3,33;12,55;5,12;0,32;3,77;1,54;0,1;0,41;0,03;0,06;13,4;8,8;9,8;0;22,1;35,7;1,2;11,8;14,9;24,54;69,44
Ve11.14;Vega;2011;Año1;Ve11;14;2,56;5,47;0,08;1;20,7;6,9;1,76;0,51;0,4;44,36;7,21;317,4;31,97;5,62;0,21;22,5;9,57;3,92;13,53;17,25;0,16;0,96;0,02;0,22;1,23;32,86;0,31;3,45;4,4;0,04;0,24;0,01;0,06;0,31;8,38;0,08;1,28;0,01;0,07;0;0,02;0,09;2,43;0,02;6,15;0,14;1,39;7,89;211,24;1,97;0,02;0,23;1,28;34,33;0,32;9,93;56,48;1511,43;14,11;5,69;152,24;1,42;26,76;0,25;0,01;72,1;18,39;5,33;4,18;16,98;32,2;1,94;42,5;9,14;2,3;2,53;270,27;102,3;23,95;10,24;20,08;264,64;16,6;0,76;3,52;14;12,73;0,12;0,31;1,34;3,14;1,6;0,12;0,05;0,21;0,84;0,77;0,01;0,02;0,08;0,19;0,1;0,01;4,65;18,48;16,8;0,16;0,42;1,77;4,15;2,12;0,16;3,97;3,61;0,03;0,09;0,38;0,89;0,46;0,03;0,91;0,01;0,02;0,1;0,22;0,11;0,01;0,01;0,02;0,11;0,25;0,13;0,01;2,64;11,28;26,39;13,46;1,02;4,27;9,99;5,09;0,39;2,34;1,19;0,09;0,51;0,04;0,08;13,6;8,6;9,6;0;22,4;35,4;1,2;12,4;13,8;24,54;69,44
Ve11.15;Vega;2011;Año1;Ve11;15;1,85;4,83;0,42;0,75;17,25;5,22;1,46;0,48;0,1;58,11;5,82;344,87;46,34;45,46;0,04;52,06;7,26;3,58;10,88;52,2;0,09;0,9;0,02;0,11;0,11;130,5;0,1;3,04;14,6;0,03;0,25;0;0,03;0,03;36,5;0,03;4,8;0,01;0,08;0;0,01;0,01;12;0,01;9,98;0,17;1,25;1,28;1452,75;1,12;0,02;0,13;0,13;145,5;0,11;7,44;7,59;8621,75;6,62;1,02;1158,5;0,89;1136,5;0,87;0;71,9;20,11;6,61;1,38;13,92;32,2;2,13;41,28;10,64;3,35;2,42;496,47;329,91;46,75;7,2;18,46;53,61;15,1;0,78;3,03;9,63;13,29;0,06;0,1;0,69;4,47;1,74;0,6;0,05;0,2;0,64;0,88;0;0,01;0,05;0,3;0,12;0,04;3,88;12,34;17,04;0,08;0,13;0,88;5,73;2,24;0,77;3,18;4,39;0,02;0,03;0,23;1,48;0,58;0,2;1,38;0,01;0,01;0,07;0,46;0,18;0,06;0;0,01;0,05;0,34;0,13;0,05;1,5;10,62;68,96;26,89;9,26;7,06;45,83;17,87;6,15;6,49;2,53;0,87;0,39;0,13;0,34;13,8;9,2;10,2;0;21,7;35,1;1,2;10,7;13,6;24,54;69,44
Ve11.16;Vega;2011;Año1;Ve11;16;1,85;5,25;0,2;0,42;10,01;3,36;1,04;0,4;0,09;36,17;2,64;350,42;27,86;6,17;0,03;28,63;4,89;3,23;8,4;37,33;0,09;1,27;0,01;0,12;0,54;112;0,12;2,6;11,56;0,03;0,39;0;0,04;0,17;34,67;0,04;4,44;0,01;0,15;0;0,01;0,06;13,33;0,01;13,7;0,1;1,3;5,86;1205,67;1,26;0,01;0,09;0,43;88;0,09;12,58;56,79;11680,67;12,24;4,52;928,67;0,97;205,67;0,22;0;68,71;21,27;8,18;1,84;11;27,4;1,71;40,27;9,59;2,26;2,01;327,52;147,94;29,54;6,55;16,88;61,27;16,05;0,68;2,86;12,13;13,65;0,08;0,19;0,93;4,18;1,62;0,45;0,04;0,18;0,76;0,85;0,01;0,01;0,06;0,26;0,1;0,03;4,2;17,82;20,06;0,12;0,27;1,36;6,15;2,39;0,66;4,25;4,78;0,03;0,06;0,32;1,47;0,57;0,16;1,13;0,01;0,02;0,08;0,35;0,13;0,04;0,01;0,01;0,07;0,31;0,12;0,03;2,21;11,09;50,02;19,4;5,35;5,01;22,59;8,76;2,41;4,51;1,75;0,48;0,39;0,11;0,28;13,6;9,2;10,2;47,1;22;35,7;1,2;11,2;20,5;24,54;69,44
Ve11.17;Vega;2011;Año1;Ve11;17;2,35;5,97;0,05;0,62;21,39;8,86;2;0,78;0,13;66;4,6;375,12;52,11;5,65;0,2;35,96;11,77;4,43;11,36;68,15;0,13;1,93;0,02;0,17;1,57;44,3;0,25;2,56;15,38;0,03;0,43;0,01;0,04;0,35;10;0,06;6;0,01;0,17;0;0,01;0,14;3,9;0,02;14,35;0,18;1,27;11,68;330;1,84;0,01;0,09;0,81;23;0,13;7,2;66,39;1875,6;10,43;9,22;260,55;1,45;28,25;0,16;0,01;75,28;16,99;6,63;1,1;13,92;29,2;1,97;38,9;9,63;2,33;2,1;304,11;174,2;55,96;5,4;18,73;90,68;14,81;0,75;3,03;12,54;13,91;0,1;0,17;0,52;5,41;1,56;0,32;0,05;0,2;0,85;0,94;0,01;0,01;0,04;0,37;0,11;0,02;4,04;16,7;18,54;0,13;0,22;0,7;7,21;2,08;0,43;4,13;4,59;0,03;0,06;0,17;1,78;0,51;0,11;1,11;0,01;0,01;0,04;0,43;0,12;0,03;0,01;0,01;0,04;0,39;0,11;0,02;1,75;5,43;56,33;16,23;3,35;3,11;32,27;9,3;1,92;10,37;2,99;0,62;0,29;0,06;0,21;14;9,4;10,4;16,9;23,2;36;1,2;11,8;16,9;24,54;69,44
Ve11.18;Vega;2011;Año1;Ve11;18;2,31;6,11;0,02;0,93;18,29;9,24;2,14;0,35;0,15;61,94;3,86;388,18;51,88;14,67;0,07;70,94;11,88;4,32;26,4;61,6;0,15;2,39;0,02;0,18;0,63;132;0,13;6,11;14,27;0,03;0,55;0,01;0,04;0,15;30,57;0,03;2,33;0,01;0,09;0;0,01;0,02;5;0;16,05;0,16;1,19;4,22;884,86;0,87;0,01;0,07;0,26;55,14;0,05;7,48;26,46;5545,43;5,47;3,54;741,14;0,73;209,57;0,21;0;77,78;18,01;2,95;1,26;32,51;27,1;1,86;36,12;11,94;2,66;1,86;285,47;190,32;38,2;5,52;18,82;55,47;14,58;0,75;2,27;10,17;14,53;0,09;0,14;0,71;4,91;1,44;0,49;0,05;0,16;0,7;1;0,01;0,01;0,05;0,34;0,1;0,03;3,03;13,56;19,37;0,13;0,19;0,95;6,54;1,92;0,65;4,48;6,4;0,04;0,06;0,31;2,16;0,63;0,22;1,43;0,01;0,01;0,07;0,48;0,14;0,05;0,01;0,01;0,05;0,34;0,1;0,03;1,5;7,47;51,71;15,17;5,15;4,98;34,48;10,11;3,43;6,92;2,03;0,69;0,29;0,1;0,34;13,8;9,4;10,4;7,8;23,7;36,7;1,2;11,3;20,3;24,54;69,44
Ve11.19;Vega;2011;Año1;Ve11;19;1,89;5,27;0,2;0,49;23,81;7,96;2,3;0,8;0,13;64,82;6,65;441,76;39,65;6,88;0,18;39,77;11,19;3,46;9,95;61,23;0,12;1,2;0,02;0,2;1,16;44,22;0,2;2,88;17,69;0,04;0,35;0,01;0,06;0,33;12,78;0,06;6,15;0,01;0,12;0;0,02;0,12;4,44;0,02;9,75;0,15;1,63;9,42;360,11;1,63;0,02;0,17;0,97;36,94;0,17;11,14;64,21;2454,22;11,11;5,76;220,28;1;38,22;0,17;0;71,13;20,55;7,15;1,16;12,83;31,9;2,24;43,41;8,93;2,85;2,19;275,65;119,75;22,03;7,17;30,74;45,62;14,24;0,73;3,57;11,18;14,55;0,12;0,27;1,45;4,45;1,04;0,7;0,05;0,25;0,79;1,02;0,01;0,02;0,1;0,31;0,07;0,05;4,86;15,21;19,81;0,16;0,36;1,97;6,05;1,41;0,95;3,13;4,07;0,03;0,07;0,41;1,25;0,29;0,2;1,3;0,01;0,02;0,13;0,4;0,09;0,06;0,01;0,02;0,1;0,31;0,07;0,05;2,3;12,51;38,44;8,97;6,04;5,43;16,7;3,9;2,63;3,07;0,72;0,48;0,23;0,16;0,67;14;9,4;10,4;34;23,7;36,7;1,2;8,1;14,7;24,54;69,44
Ve11.20;Vega;2011;Año1;Ve11;20;2,43;6;0,05;0,46;16,56;9,14;2,66;0,51;0,11;61,15;6,47;390,25;53,54;12;0,14;30,88;12,42;3,44;17,92;83,09;0,15;1,41;0,02;0,17;0,76;65,29;0,3;5,22;24,18;0,04;0,41;0,01;0,05;0,22;19;0,09;4,64;0,01;0,08;0;0,01;0,04;3,64;0,02;9,45;0,16;1,14;5,1;436,79;1,98;0,02;0,12;0,54;46,21;0,21;7,29;32,52;2787,5;12,64;4,46;382,43;1,73;85,71;0,39;0;73,59;21,42;4,11;0,89;23,14;28,4;2,12;41,81;9,46;2,91;2,07;244,03;106,89;35,57;6,01;20,29;43,32;13,4;0,68;3;9,75;13,7;0,12;0,27;0,8;4,73;1,4;0,66;0,05;0,22;0,73;1,02;0,01;0,02;0,06;0,35;0,1;0,05;4,42;14,36;20,17;0,17;0,39;1,18;6,96;2,06;0,97;3,25;4,57;0,04;0,09;0,27;1,57;0,47;0,22;1,4;0,01;0,03;0,08;0,48;0,14;0,07;0,01;0,02;0,06;0,34;0,1;0,05;2,28;6,86;40,61;12,03;5,63;3,01;17,79;5,27;2,47;5,92;1,75;0,82;0,3;0,14;0,47;13,6;9,2;10,2;19,5;22,7;34;1,2;12,3;19,9;24,54;69,44
Ve11.21;Vega;2011;Año1;Ve11;21;1,9;5,56;0,1;0,43;18,29;7,56;2,12;0,9;0,15;51,66;4,77;408,49;44,87;6,89;0,11;25,27;10,73;3,57;8,4;50,4;0,15;1,58;0,02;0,17;1,1;68,73;0,3;2,36;14,13;0,04;0,44;0,01;0,05;0,31;19,27;0,08;6;0,02;0,19;0;0,02;0,13;8,18;0,04;10,83;0,13;1,15;7,5;469,64;2,04;0,01;0,11;0,69;43,36;0,19;9,1;59,29;3713,55;16,17;6,51;407,91;1,78;62,64;0,27;0;70,46;19,76;8,39;1,4;10,76;28,9;2,1;41,91;9,87;2,94;2,06;240,45;111,81;30,11;6,35;28,33;48,54;13,78;0,69;2,93;9,85;14,02;0,12;0,26;0,96;4,55;1,02;0,6;0,05;0,21;0,71;1,02;0,01;0,02;0,07;0,33;0,07;0,04;4,25;14,28;20,33;0,17;0,37;1,39;6,6;1,48;0,86;3,36;4,79;0,04;0,09;0,33;1,56;0,35;0,2;1,42;0,01;0,03;0,1;0,46;0,1;0,06;0,01;0,02;0,07;0,32;0,07;0,04;2,15;7,99;37,89;8,49;4,95;3,71;17,62;3,95;2,3;4,74;1,06;0,62;0,22;0,13;0,58;13,4;9,6;10,6;144;23,1;34,3;1,2;12;20,9;24,54;69,44
Ve11.22;Vega;2011;Año1;Ve11;22;2,25;5,3;0,12;0,44;14,84;6,62;1,6;0,51;0,1;98,13;7,03;397,87;32,59;10,58;0,15;21,57;8,83;4,14;12,98;66,2;0,07;0,94;0,02;0,2;0,63;44,13;0,31;3,14;16;0,02;0,23;0;0,05;0,15;10,67;0,07;5,1;0,01;0,07;0;0,02;0,05;3,4;0,02;13,96;0,25;3,01;9,28;654,2;4,55;0,02;0,22;0,66;46,87;0,33;12,21;37,61;2652,47;18,45;3,08;217,27;1,51;70,53;0,49;0,01;74,97;18,12;5,78;1,13;16,12;30,5;2,14;41,71;9,12;2,62;2,07;358,71;111,28;21,33;6,94;24,9;43,62;14,25;0,73;3,35;11,65;14,71;0,09;0,27;1,43;4,39;1,22;0,7;0,05;0,23;0,82;1,03;0,01;0,02;0,1;0,31;0,09;0,05;4,58;15,93;20,12;0,12;0,37;1,96;6,01;1,68;0,96;3,48;4,4;0,03;0,08;0,43;1,31;0,37;0,21;1,26;0,01;0,02;0,12;0,38;0,11;0,06;0,01;0,02;0,1;0,3;0,08;0,05;3,22;16,82;51,66;14,41;8,22;5,22;16,03;4,47;2,55;3,07;0,86;0,49;0,28;0,16;0,57;13,6;9,2;10,2;19,5;23;34;1,2;10,2;18,3;24,54;69,44
Ve11.23;Vega;2011;Año1;Ve11;23;2,34;5,49;0,13;0,43;19,67;4,48;0,98;0,5;0,19;77,79;10,26;299,97;30,68;3,58;0,11;31,07;6,15;4,57;8,96;23,58;0,06;0,44;0,01;0,15;1,25;40,73;0,14;1,96;5,16;0,01;0,1;0;0,03;0,27;8,91;0,03;2,63;0,01;0,05;0;0,02;0,14;4,55;0,02;7,58;0,26;2,54;21,73;707,18;2,5;0,03;0,33;2,87;93,27;0,33;9,78;83,79;2727;9,65;8,57;278,91;0,99;32,55;0,12;0;72,85;15,93;8,13;3,09;10,92;31,1;1,82;38,16;8,89;2,56;2,41;384,51;88,99;24,08;9,96;17,79;227,44;17,09;0,81;3,5;12,15;12,9;0,08;0,35;1,29;3,12;1,75;0,14;0,05;0,2;0,71;0,76;0;0,02;0,08;0,18;0,1;0,01;4,29;14,91;15,83;0,1;0,43;1,58;3,83;2,15;0,17;3,47;3,69;0,02;0,1;0,37;0,89;0,5;0,04;1,06;0,01;0,03;0,11;0,26;0,14;0,01;0,01;0,03;0,1;0,24;0,14;0,01;4,32;15,97;38,61;21,61;1,69;3,7;8,93;5;0,39;2,42;1,35;0,11;0,56;0,04;0,08;14,2;9,6;10,6;257,5;23,4;35,6;1,2;9,6;20,1;24,54;69,44
Ve11.24;Vega;2011;Año1;Ve11;24;1,89;6,04;0;0,55;17,94;6,2;1,84;0,4;0,15;126,48;4,8;407,81;53,02;2,17;0,07;51,55;6,93;3,37;15,5;41,33;0,05;1,29;0,02;0,12;2,86;88,57;0,12;4,6;12,27;0,01;0,38;0;0,03;0,85;26,29;0,04;2,67;0;0,08;0;0,01;0,18;5,71;0,01;26,35;0,31;2,39;58,29;1806,86;2,45;0,01;0,09;2,21;68,57;0,09;7,69;187,93;5825,86;7,91;24,43;757,43;1,03;31;0,04;0;89,47;26,55;5,77;2,16;15,95;30,6;2,02;44,38;9,79;2,77;2,71;350,39;112,6;33,81;8,97;21,98;352,01;15,15;0,69;3,13;11,05;11,29;0,09;0,27;0,91;3,41;1,39;0,09;0,05;0,21;0,73;0,75;0,01;0,02;0,06;0,23;0,09;0,01;4,53;16,02;16,38;0,13;0,39;1,31;4,95;2,02;0,13;3,53;3,61;0,03;0,09;0,29;1,09;0,45;0,03;1,02;0,01;0,02;0,08;0,31;0,13;0,01;0,01;0,02;0,08;0,3;0,12;0,01;3,11;10,36;39,06;15,94;1;3,33;12,55;5,12;0,32;3,77;1,54;0,1;0,41;0,03;0,06;13,6;9,4;10,4;37,5;23;36,8;1,2;12,3;20,9;24,54;69,44
Ve11.25;Vega;2011;Año1;Ve11;25;1,85;5,47;0,08;1;20,7;6,9;1,76;0,51;0,4;44,36;7,21;317,4;31,97;5,62;0,21;22,5;9,57;3,92;13,53;17,25;0,16;0,96;0,02;0,22;1,23;32,86;0,31;3,45;4,4;0,04;0,24;0,01;0,06;0,31;8,38;0,08;1,28;0,01;0,07;0;0,02;0,09;2,43;0,02;6,15;0,14;1,39;7,89;211,24;1,97;0,02;0,23;1,28;34,33;0,32;9,93;56,48;1511,43;14,11;5,69;152,24;1,42;26,76;0,25;0,01;72,1;18,39;5,33;4,18;16,98;32,2;1,94;42,5;9,14;2,3;2,53;270,27;102,3;23,95;10,24;20,08;264,64;16,6;0,76;3,52;14;12,73;0,12;0,31;1,34;3,14;1,6;0,12;0,05;0,21;0,84;0,77;0,01;0,02;0,08;0,19;0,1;0,01;4,65;18,48;16,8;0,16;0,42;1,77;4,15;2,12;0,16;3,97;3,61;0,03;0,09;0,38;0,89;0,46;0,03;0,91;0,01;0,02;0,1;0,22;0,11;0,01;0,01;0,02;0,11;0,25;0,13;0,01;2,64;11,28;26,39;13,46;1,02;4,27;9,99;5,09;0,39;2,34;1,19;0,09;0,51;0,04;0,08;13,6;9,2;10,2;27;22,4;36,1;1,2;12,1;16,5;24,54;69,44
Ve11.26;Vega;2011;Año1;Ve11;26;2,65;4,83;0,42;0,75;17,25;5,22;1,46;0,48;0,1;58,11;5,82;344,87;46,34;45,46;0,04;52,06;7,26;3,58;10,88;52,2;0,09;0,9;0,02;0,11;0,11;130,5;0,1;3,04;14,6;0,03;0,25;0;0,03;0,03;36,5;0,03;4,8;0,01;0,08;0;0,01;0,01;12;0,01;9,98;0,17;1,25;1,28;1452,75;1,12;0,02;0,13;0,13;145,5;0,11;7,44;7,59;8621,75;6,62;1,02;1158,5;0,89;1136,5;0,87;0;71,9;20,11;6,61;1,38;13,92;32,2;2,13;41,28;10,64;3,35;2,42;496,47;329,91;46,75;7,2;18,46;53,61;15,1;0,78;3,03;9,63;13,29;0,06;0,1;0,69;4,47;1,74;0,6;0,05;0,2;0,64;0,88;0;0,01;0,05;0,3;0,12;0,04;3,88;12,34;17,04;0,08;0,13;0,88;5,73;2,24;0,77;3,18;4,39;0,02;0,03;0,23;1,48;0,58;0,2;1,38;0,01;0,01;0,07;0,46;0,18;0,06;0;0,01;0,05;0,34;0,13;0,05;1,5;10,62;68,96;26,89;9,26;7,06;45,83;17,87;6,15;6,49;2,53;0,87;0,39;0,13;0,34;13,6;9;10;51;22,1;36,5;1,2;5,4;16,1;24,54;69,44
Ve11.27;Vega;2011;Año1;Ve11;27;1,84;5,25;0,2;0,42;10,01;3,36;1,04;0,4;0,09;36,17;2,64;350,42;27,86;6,17;0,03;28,63;4,89;3,23;8,4;37,33;0,09;1,27;0,01;0,12;0,54;112;0,12;2,6;11,56;0,03;0,39;0;0,04;0,17;34,67;0,04;4,44;0,01;0,15;0;0,01;0,06;13,33;0,01;13,7;0,1;1,3;5,86;1205,67;1,26;0,01;0,09;0,43;88;0,09;12,58;56,79;11680,67;12,24;4,52;928,67;0,97;205,67;0,22;0;68,71;21,27;8,18;1,84;11;27,4;1,71;40,27;9,59;2,26;2,01;327,52;147,94;29,54;6,55;16,88;61,27;16,05;0,68;2,86;12,13;13,65;0,08;0,19;0,93;4,18;1,62;0,45;0,04;0,18;0,76;0,85;0,01;0,01;0,06;0,26;0,1;0,03;4,2;17,82;20,06;0,12;0,27;1,36;6,15;2,39;0,66;4,25;4,78;0,03;0,06;0,32;1,47;0,57;0,16;1,13;0,01;0,02;0,08;0,35;0,13;0,04;0,01;0,01;0,07;0,31;0,12;0,03;2,21;11,09;50,02;19,4;5,35;5,01;22,59;8,76;2,41;4,51;1,75;0,48;0,39;0,11;0,28;13,6;9;10;5;22,1;36,3;1,2;7,7;17,8;24,54;69,44
Ve11.28;Vega;2011;Año1;Ve11;28;2,35;5,97;0,05;0,62;21,39;8,86;2;0,78;0,13;66;4,6;375,12;52,11;5,65;0,2;35,96;11,77;4,43;11,36;68,15;0,13;1,93;0,02;0,17;1,57;44,3;0,25;2,56;15,38;0,03;0,43;0,01;0,04;0,35;10;0,06;6;0,01;0,17;0;0,01;0,14;3,9;0,02;14,35;0,18;1,27;11,68;330;1,84;0,01;0,09;0,81;23;0,13;7,2;66,39;1875,6;10,43;9,22;260,55;1,45;28,25;0,16;0,01;75,28;16,99;6,63;1,1;13,92;29,2;1,97;38,9;9,63;2,33;2,1;304,11;174,2;55,96;5,4;18,73;90,68;14,81;0,75;3,03;12,54;13,91;0,1;0,17;0,52;5,41;1,56;0,32;0,05;0,2;0,85;0,94;0,01;0,01;0,04;0,37;0,11;0,02;4,04;16,7;18,54;0,13;0,22;0,7;7,21;2,08;0,43;4,13;4,59;0,03;0,06;0,17;1,78;0,51;0,11;1,11;0,01;0,01;0,04;0,43;0,12;0,03;0,01;0,01;0,04;0,39;0,11;0,02;1,75;5,43;56,33;16,23;3,35;3,11;32,27;9,3;1,92;10,37;2,99;0,62;0,29;0,06;0,21;13,6;9,2;10,2;0;21,6;34,7;1,2;6,5;14,4;24,54;69,44
Ve11.29;Vega;2011;Año1;Ve11;29;2,1;6,11;0,02;0,93;18,29;9,24;2,14;0,35;0,15;61,94;3,86;388,18;51,88;14,67;0,07;70,94;11,88;4,32;26,4;61,6;0,15;2,39;0,02;0,18;0,63;132;0,13;6,11;14,27;0,03;0,55;0,01;0,04;0,15;30,57;0,03;2,33;0,01;0,09;0;0,01;0,02;5;0;16,05;0,16;1,19;4,22;884,86;0,87;0,01;0,07;0,26;55,14;0,05;7,48;26,46;5545,43;5,47;3,54;741,14;0,73;209,57;0,21;0;77,78;18,01;2,95;1,26;32,51;27,1;1,86;36,12;11,94;2,66;1,86;285,47;190,32;38,2;5,52;18,82;55,47;14,58;0,75;2,27;10,17;14,53;0,09;0,14;0,71;4,91;1,44;0,49;0,05;0,16;0,7;1;0,01;0,01;0,05;0,34;0,1;0,03;3,03;13,56;19,37;0,13;0,19;0,95;6,54;1,92;0,65;4,48;6,4;0,04;0,06;0,31;2,16;0,63;0,22;1,43;0,01;0,01;0,07;0,48;0,14;0,05;0,01;0,01;0,05;0,34;0,1;0,03;1,5;7,47;51,71;15,17;5,15;4,98;34,48;10,11;3,43;6,92;2,03;0,69;0,29;0,1;0,34;13,6;9,2;10,2;0;22,5;34,7;1,2;6,9;20,1;24,54;69,44
Ve11.30;Vega;2011;Año1;Ve11;30;1,73;5,27;0,2;0,49;23,81;7,96;2,3;0,8;0,13;64,82;6,65;441,76;39,65;6,88;0,18;39,77;11,19;3,46;9,95;61,23;0,12;1,2;0,02;0,2;1,16;44,22;0,2;2,88;17,69;0,04;0,35;0,01;0,06;0,33;12,78;0,06;6,15;0,01;0,12;0;0,02;0,12;4,44;0,02;9,75;0,15;1,63;9,42;360,11;1,63;0,02;0,17;0,97;36,94;0,17;11,14;64,21;2454,22;11,11;5,76;220,28;1;38,22;0,17;0;71,13;20,55;7,15;1,16;12,83;31,9;2,24;43,41;8,93;2,85;2,19;275,65;119,75;22,03;7,17;30,74;45,62;14,24;0,73;3,57;11,18;14,55;0,12;0,27;1,45;4,45;1,04;0,7;0,05;0,25;0,79;1,02;0,01;0,02;0,1;0,31;0,07;0,05;4,86;15,21;19,81;0,16;0,36;1,97;6,05;1,41;0,95;3,13;4,07;0,03;0,07;0,41;1,25;0,29;0,2;1,3;0,01;0,02;0,13;0,4;0,09;0,06;0,01;0,02;0,1;0,31;0,07;0,05;2,3;12,51;38,44;8,97;6,04;5,43;16,7;3,9;2,63;3,07;0,72;0,48;0,23;0,16;0,67;12,8;8,4;9,4;0;23,1;34,6;1,2;9;13,7;24,54;69,44
Ve11.31;Vega;2011;Año1;Ve11;31;2;6;0,05;0,46;16,56;9,14;2,66;0,51;0,11;61,15;6,47;390,25;53,54;12;0,14;30,88;12,42;3,44;17,92;83,09;0,15;1,41;0,02;0,17;0,76;65,29;0,3;5,22;24,18;0,04;0,41;0,01;0,05;0,22;19;0,09;4,64;0,01;0,08;0;0,01;0,04;3,64;0,02;9,45;0,16;1,14;5,1;436,79;1,98;0,02;0,12;0,54;46,21;0,21;7,29;32,52;2787,5;12,64;4,46;382,43;1,73;85,71;0,39;0;73,59;21,42;4,11;0,89;23,14;28,4;2,12;41,81;9,46;2,91;2,07;244,03;106,89;35,57;6,01;20,29;43,32;13,4;0,68;3;9,75;13,7;0,12;0,27;0,8;4,73;1,4;0,66;0,05;0,22;0,73;1,02;0,01;0,02;0,06;0,35;0,1;0,05;4,42;14,36;20,17;0,17;0,39;1,18;6,96;2,06;0,97;3,25;4,57;0,04;0,09;0,27;1,57;0,47;0,22;1,4;0,01;0,03;0,08;0,48;0,14;0,07;0,01;0,02;0,06;0,34;0,1;0,05;2,28;6,86;40,61;12,03;5,63;3,01;17,79;5,27;2,47;5,92;1,75;0,82;0,3;0,14;0,47;13,4;9;10;21;23;35,9;1,2;8,9;18,4;24,54;69,44
Ve11.32;Vega;2011;Año1;Ve11;32;1,98;5,56;0,1;0,43;18,29;7,56;2,12;0,9;0,15;51,66;4,77;408,49;44,87;6,89;0,11;25,27;10,73;3,57;8,4;50,4;0,15;1,58;0,02;0,17;1,1;68,73;0,3;2,36;14,13;0,04;0,44;0,01;0,05;0,31;19,27;0,08;6;0,02;0,19;0;0,02;0,13;8,18;0,04;10,83;0,13;1,15;7,5;469,64;2,04;0,01;0,11;0,69;43,36;0,19;9,1;59,29;3713,55;16,17;6,51;407,91;1,78;62,64;0,27;0;70,46;19,76;8,39;1,4;10,76;28,9;2,1;41,91;9,87;2,94;2,06;240,45;111,81;30,11;6,35;28,33;48,54;13,78;0,69;2,93;9,85;14,02;0,12;0,26;0,96;4,55;1,02;0,6;0,05;0,21;0,71;1,02;0,01;0,02;0,07;0,33;0,07;0,04;4,25;14,28;20,33;0,17;0,37;1,39;6,6;1,48;0,86;3,36;4,79;0,04;0,09;0,33;1,56;0,35;0,2;1,42;0,01;0,03;0,1;0,46;0,1;0,06;0,01;0,02;0,07;0,32;0,07;0,04;2,15;7,99;37,89;8,49;4,95;3,71;17,62;3,95;2,3;4,74;1,06;0,62;0,22;0,13;0,58;13,2;9;10;43;22,9;35,9;1,2;10;15,7;24,54;69,44
